Id,Label,timeset,modularity_class,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
alexmane,alexmane,,6,25,0,25,59,0,59,0,0,0,0
dinolentine,dinolentine,,2,25,3,28,27,3,30,1,1,1,749.265293
BritsPro,BritsPro,,3,45,9,54,58,10,68,9,0.207831,0.245761,13902.550239
datilindepe,datilindepe,,1,6,0,6,6,0,6,0,0,0,0
Carrasclet2,Carrasclet2,,4,0,7,7,0,8,8,9,0.187289,0.219913,0
brmgirona,brmgirona,,7,0,5,5,0,6,6,2,0.857143,0.916667,0
NO_OBLID,NO_OBLID,,6,0,9,9,0,12,12,8,0.252269,0.295868,0
wilmaamat,wilmaamat,,1,2,3,5,3,3,6,2,0.615385,0.6875,12.7
RbRoser,RbRoser,,4,22,13,35,33,33,66,8,0.246869,0.30377,10350.931224
Llusa19,Llusa19,,2,0,5,5,0,5,5,3,0.545455,0.666667,0
ciscle,ciscle,,1,1,4,5,1,4,5,4,0.473684,0.648148,8.5
gandhiloquent,gandhiloquent,,0,0,6,6,0,13,13,10,0.184421,0.225003,0
boye_g,boye_g,,1,15,0,15,23,0,23,0,0,0,0
GigiV40687456,GigiV40687456,,6,0,5,5,0,7,7,2,0.777778,0.857143,0
muni1714,muni1714,,2,0,6,6,0,6,6,10,0.166966,0.196451,0
Justsomonelikey,Justsomonelikey,,2,0,7,7,0,10,10,8,0.228926,0.270651,0
isabel57591999,isabel57591999,,6,16,4,20,16,6,22,10,0.180747,0.207918,3179.394448
Montserrat1122,Montserrat1122,,2,0,5,5,0,5,5,10,0.188179,0.22949,0
MontserratNomde,MontserratNomde,,0,0,8,8,0,43,43,10,0.184913,0.229516,0
VulcanRita,VulcanRita,,0,22,0,22,129,0,129,0,0,0,0
AAixurach,AAixurach,,2,1,25,26,1,33,34,7,0.29393,0.371178,4366.665152
IgnasiPerez1,IgnasiPerez1,,2,0,5,5,0,9,9,10,0.169315,0.200486,0
RisaImma,RisaImma,,0,0,11,11,0,87,87,9,0.200288,0.254693,0
A_M_M_7_7,A_M_M_7_7,,7,0,17,17,0,21,21,9,0.235149,0.305407,0
ChalecosAmarill,ChalecosAmarill,,2,10,5,15,22,12,34,11,0.154875,0.178516,1070.22619
Estnom93,Estnom93,,0,19,8,27,84,60,144,10,0.184369,0.226724,1767.133333
Confraria_SEDR,Confraria_SEDR,,2,123,0,123,126,0,126,0,0,0,0
SOLARCATrepubli,SOLARCATrepubli,,0,2,14,16,2,32,34,10,0.197601,0.259236,109.507143
litomelani2014,litomelani2014,,2,0,7,7,0,8,8,10,0.17173,0.213564,0
francesc130,francesc130,,7,0,13,13,0,14,14,9,0.220205,0.276115,0
xavier_vives,xavier_vives,,6,4,11,15,8,16,24,9,0.24216,0.29813,280.671429
Bb7sus4,Bb7sus4,,2,0,6,6,0,8,8,8,0.229495,0.274815,0
mtdp08230,mtdp08230,,7,0,12,12,0,14,14,8,0.269641,0.325458,0
kataklock,kataklock,,1,6,1,7,6,1,7,1,1,1,5.6
ectaporta,ectaporta,,2,0,7,7,0,9,9,9,0.186202,0.221224,0
Giup7,Giup7,,3,0,9,9,0,9,9,8,0.24277,0.288525,0
MariaOxbow,MariaOxbow,,1,0,14,14,0,30,30,10,0.187036,0.240125,0
sedlr_,sedlr_,,2,121,1,122,156,4,160,0,0,0,0
dalmaucastanyer,dalmaucastanyer,,2,0,6,6,0,8,8,10,0.157925,0.182861,0
verdglauc,verdglauc,,1,0,5,5,0,5,5,9,0.2139,0.250105,0
noestanfacil65,noestanfacil65,,2,0,5,5,0,5,5,9,0.198713,0.230506,0
JoanRamonL,JoanRamonL,,1,10,25,35,12,60,72,10,0.209091,0.293595,8548.198947
Jordi7455,Jordi7455,,6,0,5,5,0,6,6,8,0.262808,0.301062,0
terra_pau,terra_pau,,6,0,5,5,0,6,6,13,0.121491,0.146905,0
xicabon,xicabon,,0,0,6,6,0,8,8,10,0.195241,0.243543,0
MinnesotaDe,MinnesotaDe,,3,36,0,36,60,0,60,0,0,0,0
Vinyaverda,Vinyaverda,,6,34,20,54,34,23,57,8,0.251595,0.331522,29075.27159
cfageda,cfageda,,6,0,6,6,0,9,9,12,0.138362,0.164908,0
TsunamiJordi,TsunamiJordi,,2,0,11,11,0,13,13,10,0.180456,0.224106,0
d_rusc,d_rusc,,1,4,2,6,7,2,9,9,0.218527,0.25915,1893.903789
AugeAdeu,AugeAdeu,,7,0,8,8,0,12,12,9,0.219493,0.26283,0
PuntiPere,PuntiPere,,7,15,12,27,16,17,33,10,0.199855,0.256885,4247.010304
Val_Roca_,Val_Roca_,,2,0,5,5,0,5,5,1,1,1,0
aracegea,aracegea,,7,2,12,14,2,16,18,9,0.215732,0.2658,51.942857
CasaReal,CasaReal,,1,6,0,6,16,0,16,0,0,0,0
RTRincha,RTRincha,,7,0,14,14,0,19,19,8,0.282828,0.342938,0
Corneli66092024,Corneli66092024,,2,0,8,8,0,12,12,10,0.170777,0.204586,0
pepegotera65,pepegotera65,,7,5,5,10,5,5,10,10,0.183687,0.22037,347.166667
Paulamartha7,Paulamartha7,,1,0,6,6,0,6,6,9,0.201601,0.234916,0
Montserratasta3,Montserratasta3,,2,0,10,10,0,14,14,10,0.186373,0.235721,0
CarmeRovira2408,CarmeRovira2408,,2,0,9,9,0,12,12,9,0.201888,0.243601,0
JosepCard10,JosepCard10,,2,4,4,8,6,5,11,12,0.14555,0.170187,125.166667
JoanRubioBarris,JoanRubioBarris,,2,0,7,7,0,7,7,9,0.204579,0.250996,0
xinluses,xinluses,,2,0,6,6,0,7,7,10,0.166466,0.194698,0
tonib1212,tonib1212,,7,0,13,13,0,15,15,8,0.263757,0.321116,0
gabrielrufian,gabrielrufian,,1,12,0,12,13,0,13,0,0,0,0
EmocionsxRep,EmocionsxRep,,7,0,13,13,0,20,20,13,0.124944,0.171814,0
acrata1789,acrata1789,,2,1,12,13,1,16,17,9,0.195606,0.245554,4634.79779
i_Cat_Lliure,i_Cat_Lliure,,1,7,1,8,9,3,12,0,0,0,0
Manu_K_tala,Manu_K_tala,,6,0,23,23,0,26,26,7,0.319588,0.394752,0
liguana4,liguana4,,3,0,7,7,0,7,7,10,0.202772,0.248802,0
LluisMaBassas,LluisMaBassas,,2,0,8,8,0,10,10,9,0.195346,0.231275,0
josep_gros,josep_gros,,2,0,11,11,0,11,11,8,0.231219,0.277854,0
Immamorro,Immamorro,,2,0,10,10,0,10,10,10,0.178161,0.218628,0
MesGrillat,MesGrillat,,2,1,5,6,1,6,7,11,0.16264,0.191324,90.700902
RosaEscardo,RosaEscardo,,4,0,12,12,0,23,23,8,0.247101,0.304904,0
Mireiavam,Mireiavam,,6,0,8,8,0,9,9,9,0.210008,0.249577,0
2208mellado,2208mellado,,6,0,5,5,0,6,6,12,0.140681,0.170097,0
Cacadelux,Cacadelux,,7,0,10,10,0,16,16,8,0.253431,0.299725,0
Erramun2014,Erramun2014,,2,137,1,138,170,1,171,0,0,0,0
LlogamCadaques,LlogamCadaques,,6,1,12,13,1,13,14,9,0.205357,0.255912,3306.956487
ecrispi,ecrispi,,1,1,6,7,1,8,9,10,0.178364,0.214132,96.392857
LVinyes,LVinyes,,7,0,5,5,0,7,7,3,0.666667,0.791667,0
Zacur22,Zacur22,,3,0,6,6,0,6,6,10,0.188179,0.221722,0
minerve81,minerve81,,7,0,8,8,0,8,8,9,0.216216,0.272243,0
galarufus,galarufus,,3,3,6,9,3,7,10,9,0.193684,0.227053,10279.202484
ReallySedicious,ReallySedicious,,3,0,5,5,0,5,5,10,0.172157,0.202156,0
slipnegre,slipnegre,,6,1,4,5,1,4,5,9,0.216132,0.250894,633.16666
LesAntonies,LesAntonies,,2,0,7,7,0,8,8,3,0.590909,0.730769,0
CDotze,CDotze,,6,16,6,22,16,7,23,8,0.231156,0.26712,12364.505437
miriamnoguerasM,miriamnoguerasM,,6,10,2,12,10,2,12,2,0.666667,0.75,98.983045
EnricBCNcat,EnricBCNcat,,4,26,9,35,37,11,48,9,0.246649,0.299053,36395.273294
Raquel_Laia,Raquel_Laia,,2,0,14,14,0,16,16,9,0.212214,0.274288,0
joanarinoibarz,joanarinoibarz,,1,29,8,37,38,12,50,2,0.9,0.944444,654.925505
Wittgenstein_jm,Wittgenstein_jm,,7,0,25,25,0,39,39,8,0.265345,0.347017,0
Foreign_Cat,Foreign_Cat,,3,38,6,44,39,9,48,9,0.205357,0.24391,7626.419283
Pep95527177,Pep95527177,,6,0,10,10,0,10,10,10,0.207589,0.255789,0
ramonsalvia,ramonsalvia,,7,2,9,11,2,9,11,9,0.198418,0.246988,5405.343381
MariaBrichs,MariaBrichs,,7,0,8,8,0,12,12,11,0.176997,0.22543,0
jasaezbenito,jasaezbenito,,1,3,22,25,3,22,25,7,0.290221,0.362905,1897.216241
UlissesXX,UlissesXX,,1,4,5,9,4,5,9,10,0.196441,0.232892,1920.233369
